ID,RA,DEC
163335,305.382199,36.9202158
163328,156.91246,9.7623961
163333,156.969709,-58.7394031
163324,269.794713,-49.4334592
163326,162.599619,-48.6734314
163329,108.140106,-46.759305
163331,170.972216,37.2348306
163325,317.382425,68.4908906
163336,293.683038,43.9458556
163330,182.810781,47.8288347
163338,144.10586,-48.7511794
163342,287.796892,15.787675
163327,10.868333,64.7597222
163337,78.378238,-69.5399097
163341,48.413062,-10.4423447
163343,59.265865,23.17555
163344,207.891593,-58.5395211
163346,144.17063,69.6366069
163350,232.394045,78.6334119
163348,0.18181,45.2533336
163345,244.715969,-57.89979
163351,299.79499,29.4507422
163349,79.323711,53.5861228
163353,131.627279,-45.9125044
163354,144.221482,44.0667789
163357,39.820998,-43.8016339
163359,232.436214,-58.5809033
163355,320.47802,37.4592008
163366,119.766439,-4.3324167
163363,129.932317,-9.5869489
163365,348.801661,60.4505056
163364,244.857719,29.7132306
163362,125.678535,33.5192953
163361,189.097775,59.4869394
163369,206.795265,-62.5897144
163367,97.142037,30.4930336
163371,244.935153,46.3133664
163373,2.192469,-86.1884892
163370,317.72657,49.14206
163375,64.815965,29.1074606
163378,131.828522,-46.155415
163376,53.162408,44.8557594
163379,342.59506,-80.1238456
163382,245.022883,-20.0563992
163385,157.361554,39.7690258
163380,324.010399,45.3745914
163384,0.510907,-2.7661708
163386,300.079671,33.2642031
163387,317.874597,-45.0745506
163389,288.143562,16.84642
163388,232.663461,35.7845281
163390,114.170974,-19.7023381
163392,151.034917,11.6285122
163394,202.092195,-51.2922792
163395,220.482315,-47.3882
163396,138.29903,-50.1070919
163399,337.208708,58.2109472
163398,214.332927,66.7942219
163408,355.567926,24.9161964
163401,111.866622,72.7034769
163402,276.381792,-63.0215342
163400,13.724367,58.5636533
163407,122.429809,-47.9371931
163409,53.39598,39.8994786
163404,330.415972,-54.1572228
163413,176.998989,-40.2915217
163412,73.406322,-19.4336331
163419,245.29715,-25.5927964
163416,330.51905,58.0003667
163417,138.450863,43.2178244
163410,270.388345,11.2857572
163414,114.32054,-23.7753989
163420,151.257686,-56.8979189
163427,324.367195,51.7624808
163422,305.977676,0.9457761
163425,79.826296,-18.5095592
163428,18.754561,65.5994019
163429,114.429997,-7.7272122
163424,79.822655,-18.5199194
163426,239.139059,-14.8294383
163437,79.9325,5.6608333
163434,239.176299,-37.820965
163438,220.768641,-62.2073106
163432,239.174541,-42.3231358
163436,116.614227,62.8305225
163433,73.562902,2.4406719
163435,103.255875,38.8691572
163439,164.282697,-50.7650178
163441,164.288401,-65.1347528
163443,330.724991,-21.5255992
163445,66.761647,25.7062017
163450,189.820253,35.9519589
163444,118.92012,35.4126842
163451,189.829851,-71.6217914
163448,160.221056,-57.9355953
163447,7.49413,60.2119619
163452,270.71291,-24.2824678
163446,177.299103,-41.7575767
163454,355.95609,-15.2845006
163457,294.514096,-60.6109989
163453,123.521442,-44.5757947
163459,312.253509,31.8488222
163456,312.234545,46.1141344
163462,164.450782,-59.7321903
163458,252.069303,57.8137106
163461,7.615939,-40.9395858
163470,337.253786,40.3155111
163465,343.254321,15.7879425
163467,47.474081,-83.5315561
163469,337.243006,50.9631361
163472,53.957557,-43.7163864
163466,288.686297,6.0485494
163475,352.92929,28.4034889
163480,252.313774,-14.3690631
163474,126.549812,-30.2856464
163479,27.726813,-50.2061375
163478,337.292776,58.4151986
163481,97.964027,-23.4184217
163473,294.740581,28.5129475
163477,103.55435,-23.9283364
163482,43.048589,56.9353081
163485,303.560538,28.6948172
163488,27.779282,59.8882072
163483,138.978281,-49.9734931
163486,264.906626,-32.3201408
163484,80.257126,-65.8006767
163492,252.383255,26.0348692
163487,356.26096,63.0038514
163491,109.207602,-67.9571519
163489,96.009747,47.7066319
163501,337.433485,35.7256311
163494,349.760053,45.1367506
163498,221.295664,-55.6016403
163497,174.485863,67.3297389
163495,300.815182,58.9545875
163496,221.274764,41.0289239
163503,300.882272,-78.8307514
163504,324.92,-51.5727778
163512,41.030625,-13.8586964
163506,7.957298,4.8461617
163505,164.835741,-58.1244447
163513,67.428566,10.5218597
163507,177.804115,-61.8461531
163508,233.610473,-9.1834161
163511,14.651504,-29.3574492
163510,158.355786,-58.1901492
163520,139.272528,-59.2752292
163515,271.987332,-19.3991306
163522,271.255105,-29.5800875
163521,271.253328,41.94629
163523,177.958796,-5.7622728
163519,67.490065,-28.879635
163518,190.393301,10.42627
163514,130.156541,-46.6487444
163524,306.759448,49.3833667
163525,255.588334,40.0730092
163530,318.668477,41.7163492
163532,271.357235,-23.0056469
163529,60.935852,5.4356244
163527,330.104778,43.4453686
163528,126.902438,-53.0884797
163538,14.893653,45.4067222
163541,312.867658,28.2505053
163537,190.520944,-69.4075536
163540,301.110678,34.1122711
163542,115.219154,-31.6611656
163544,301.150728,32.2185978
163536,178.073847,-65.4041836
163539,331.470722,33.5068861
163543,184.444292,69.5106169
163546,109.621382,-13.2170853
163545,221.607336,-37.2222475
163548,215.452285,-61.5496236
163550,350.188081,77.0626367
163552,215.464663,3.9094236
163551,86.479112,63.2962661
163553,269.0887,-21.9560778
163554,115.305512,-32.6439464
163556,67.722234,-41.1742656
163560,54.582223,56.9327131
163565,8.409517,-15.4874539
163566,265.495943,-33.5038083
163564,197.029798,-65.3060228
163558,203.325353,53.9873867
163563,165.255345,-54.4115483
163569,61.243585,58.6597794
